0,1,2,3,4,5
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
8,0,0,0,0,0
1,1,0,0,0,5
4,4,0,0,0,4
4,4,0,0,0,4
6,2,0,0,0,2
9,9,0,0,0,9
9,9,0,0,0,9
8,8,0,0,0,2
6,6,0,0,0,2
9,7,0,0,0,9
3,2,0,0,0,3
9,3,0,0,0,9
9,9,0,0,0,9
8,5,0,0,0,8
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
8,0,0,0,0,1
7,7,0,0,0,9
9,9,0,0,0,9
4,4,0,0,0,4
4,4,0,0,0,4
8,8,0,0,0,2
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
9,3,0,0,0,9
4,8,0,0,0,8
4,4,0,0,0,4
4,4,0,0,0,4
9,8,0,0,0,3
9,9,0,0,0,9
3,5,0,0,0,3
9,8,0,0,0,3
4,4,0,0,0,4
3,2,0,0,0,3
4,4,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
9,9,0,0,0,9
2,2,0,0,0,3
4,4,0,0,0,4
9,9,0,0,0,9
6,0,0,0,0,0
4,4,0,0,0,4
7,2,0,0,0,2
2,7,0,0,0,2
3,2,0,0,0,3
4,4,0,0,0,4
9,9,0,0,0,9
9,7,0,0,0,9
5,5,0,0,0,3
4,4,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
8,1,0,0,0,8
4,4,0,0,0,4
4,4,0,0,0,4
0,3,0,0,0,3
9,9,0,0,0,9
9,9,0,0,0,9
4,4,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
9,4,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
9,9,0,0,0,9
9,9,0,0,0,9
7,0,0,0,0,8
4,4,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
9,9,0,0,0,9
9,4,0,0,0,9
6,1,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
5,5,0,0,0,3
9,9,0,0,0,9
5,8,0,0,0,8
6,8,0,0,0,3
8,8,0,0,0,2
9,9,0,0,0,9
4,4,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
5,8,0,0,0,5
4,4,0,0,0,4
4,4,0,0,0,4
9,5,0,0,0,5
4,4,0,0,0,4
2,2,0,0,0,3
5,8,0,0,0,8
9,9,0,0,0,9
5,8,0,0,0,8
5,4,0,0,0,4
9,3,0,0,0,9
9,9,0,0,0,9
9,9,0,0,0,9
8,5,0,0,0,5
4,0,0,0,0,6
4,4,0,0,0,4
4,4,0,0,0,4
8,6,0,0,0,5
1,1,0,0,0,8
4,4,0,0,0,4
3,2,0,0,0,3
4,4,0,0,0,4
4,4,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,2
4,4,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
9,1,0,0,0,4
9,9,0,0,0,9
4,4,0,0,0,4
7,7,0,0,0,9
4,4,0,0,0,4
9,9,0,0,0,4
9,9,0,0,0,9
4,6,0,0,0,5
9,9,0,0,0,9
4,4,0,0,0,4
4,8,0,0,0,4
4,4,0,0,0,4
9,9,0,0,0,9
