A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,class_label
1.0,9.0,38.9,120.0,30.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,47.0,6.3,1.0,0.0,1.0
2.0,1.0,38.3,40.0,24.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,33.0,6.7,0.0,0.0,1.0
2.0,1.0,38.9,44.0,14.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,33.0,64.0,0.0,0.0,1.0
1.0,1.0,38.2,48.0,0.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,4.0,5.0,42.0,71.0,0.0,0.0,1.0
1.0,1.0,38.0,36.0,16.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,37.0,75.0,2.0,1.0,0.0
1.0,9.0,38.5,120.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,35.0,54.0,1.0,1.0,1.0
1.0,1.0,37.4,84.0,20.0,0.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,61.0,0.0,1.0,0.0
1.0,1.0,38.2,42.0,20.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,47.0,60.0,0.0,0.0,1.0
2.0,1.0,37.3,50.0,32.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,44.0,7.0,0.0,0.0,1.0
2.0,1.0,38.5,60.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,44.0,7.7,0.0,0.0,1.0
1.0,1.0,38.7,76.0,0.0,1.0,1.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,4.0,4.0,50.0,8.0,0.0,0.0,1.0
1.0,1.0,39.2,88.0,20.0,0.0,0.0,4.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,50.0,85.0,2.0,2.0,0.0
2.0,1.0,36.9,50.0,40.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,7.0,0.0,0.0,37.5,6.5,0.0,0.0,1.0
1.0,1.0,38.0,48.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,38.3,44.0,21.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,5.0,44.0,6.5,2.0,4.4,1.0
1.0,1.0,38.1,70.0,22.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,65.0,0.0,0.0,0.0
1.0,1.0,39.3,64.0,90.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,39.0,6.7,0.0,0.0,1.0
1.0,1.0,39.9,72.0,60.0,1.0,1.0,5.0,2.0,5.0,4.0,4.0,3.0,1.0,0.0,4.0,4.0,46.0,6.1,2.0,0.0,1.0
1.0,1.0,37.8,88.0,22.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,64.0,8.0,1.0,6.0,0.0
1.0,1.0,38.2,48.0,18.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,0.0,4.0,0.0,48.0,74.0,1.0,2.0,1.0
1.0,1.0,35.4,140.0,24.0,3.0,3.0,4.0,2.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,57.0,69.0,3.0,2.0,0.0
1.0,1.0,38.1,44.0,9.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,5.0,31.0,7.3,0.0,0.0,1.0
2.0,1.0,38.5,60.0,20.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,63.0,7.5,2.0,2.3,0.0
2.0,1.0,40.3,114.0,36.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,7.0,1.0,5.0,57.0,8.1,3.0,4.5,0.0
2.0,1.0,0.0,84.0,36.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,44.0,8.5,0.0,0.0,1.0
1.0,1.0,0.0,80.0,0.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,5.0,43.0,70.0,0.0,0.0,1.0
1.0,1.0,38.4,80.0,30.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,5.0,32.0,6.1,3.0,4.3,1.0
1.0,1.0,38.2,64.0,28.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,49.0,8.6,2.0,6.6,1.0
1.0,1.0,37.8,60.0,24.0,1.0,0.0,3.0,2.0,0.0,4.0,4.0,2.0,3.0,2.0,0.0,5.0,52.0,75.0,0.0,0.0,0.0
2.0,1.0,36.6,42.0,18.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,5.0,52.0,7.1,0.0,0.0,0.0
1.0,1.0,39.2,0.0,23.0,3.0,1.0,3.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,36.0,6.6,1.0,3.0,1.0
1.0,1.0,38.1,52.0,24.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,7.0,1.0,0.0,54.0,7.5,2.0,2.6,0.0
1.0,1.0,38.0,0.0,24.0,3.0,3.0,6.0,2.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,68.0,7.8,0.0,0.0,0.0
1.0,1.0,38.0,44.0,12.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,4.0,5.0,42.0,65.0,0.0,0.0,1.0
2.0,1.0,36.1,88.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,4.0,45.0,7.0,3.0,4.8,0.0
2.0,1.0,38.7,40.0,28.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,62.0,1.0,1.0,1.0
1.0,1.0,38.5,129.0,48.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,0.0,0.0,57.0,66.0,3.0,2.0,1.0
1.0,1.0,38.4,49.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,44.0,7.6,0.0,0.0,1.0
2.0,9.0,0.0,100.0,44.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,37.0,4.7,0.0,0.0,1.0
1.0,1.0,38.1,88.0,24.0,3.0,3.0,4.0,1.0,5.0,4.0,3.0,2.0,1.0,0.0,3.0,4.0,41.0,4.6,0.0,0.0,0.0
2.0,1.0,39.5,60.0,10.0,3.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,3.0,0.0,38.0,56.0,1.0,0.0,1.0
2.0,1.0,38.2,130.0,16.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,65.0,82.0,2.0,2.0,0.0
1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,0.0,4.0,5.0,46.0,5.9,0.0,0.0,0.0
1.0,1.0,37.1,75.0,36.0,0.0,0.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,5.0,4.0,4.0,48.0,7.4,3.0,3.2,0.0
1.0,1.0,38.0,50.0,36.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,39.0,6.6,1.0,5.3,1.0
1.0,9.0,38.8,150.0,50.0,1.0,3.0,6.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,50.0,6.2,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,4.0,5.0,38.0,6.5,0.0,0.0,0.0
1.0,1.0,37.9,68.0,20.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,5.0,45.0,4.0,3.0,2.8,0.0
2.0,1.0,38.5,96.0,36.0,3.0,3.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,4.0,5.0,70.0,8.5,0.0,0.0,0.0
