A,B,C,D,E,F,G,H,I,class_label
44,1,84,0,44,0,40,40,0,0
37,0,80,0,24,-15,43,57,14,0
55,0,77,0,-28,-2,21,105,84,3
37,1,82,4,-4,0,45,87,42,0
44,4,88,0,44,0,44,44,0,0
55,0,77,0,16,-11,22,62,40,3
55,0,81,0,-10,-11,25,91,66,3
44,2,79,1,44,7,36,35,0,0
55,0,93,0,44,6,37,49,12,3
48,0,86,0,46,-5,38,40,2,0
40,-2,80,0,38,0,40,41,2,0
56,-2,96,-3,56,0,40,39,0,0
55,0,81,2,-10,0,25,91,66,3
45,0,84,0,46,24,39,38,0,0
56,0,77,0,20,19,22,57,36,3
44,4,75,0,44,19,31,31,0,0
37,0,79,-3,30,0,42,48,6,0
49,-3,78,0,50,1,29,29,0,0
46,0,86,-24,46,0,40,40,0,0
53,5,82,0,52,-12,29,30,2,0
37,-2,106,-5,30,-6,69,75,6,0
37,0,79,0,10,-22,43,69,26,0
49,2,95,0,46,-5,47,49,2,0
42,-2,79,-2,42,0,37,37,0,0
41,0,86,0,42,23,46,45,0,0
55,0,77,0,-22,-16,21,100,78,3
53,-2,88,0,54,4,34,33,0,0
37,0,100,0,34,-4,64,67,4,0
53,1,81,0,52,-23,28,29,2,0
37,0,96,0,16,18,59,81,22,0
77,0,81,0,-40,3,4,123,118,4
79,-4,83,-6,-40,6,4,124,120,4
41,0,83,3,38,-8,42,44,2,0
56,0,77,0,-18,18,21,95,74,3
46,0,86,-4,46,0,40,39,0,0
37,0,75,0,18,0,38,57,18,0
54,-1,90,0,54,0,36,36,0,0
37,0,86,0,36,-10,48,50,2,0
37,0,82,0,8,-14,45,74,30,0
53,-1,81,0,52,-19,28,30,2,0
55,-3,96,4,52,0,41,44,4,3
42,5,86,0,42,0,44,45,0,0
39,0,81,5,38,0,42,42,0,0
37,3,80,0,20,0,43,59,16,0
37,0,106,0,34,-1,69,72,4,0
45,2,102,0,44,-7,57,58,2,0
55,0,92,-3,0,4,36,92,56,3
53,0,80,0,54,22,27,26,0,0
40,3,106,0,38,0,66,67,2,0
45,0,84,4,44,0,39,40,2,0
56,0,87,1,56,8,31,30,0,0
37,0,95,0,26,5,58,70,12,0
49,-1,83,-3,46,-8,34,37,2,0
49,0,83,-1,46,0,34,37,2,0
37,0,95,0,20,0,57,74,16,0
53,3,88,0,54,22,35,34,0,0
53,1,88,0,54,1,34,33,0,0
41,1,77,0,38,-1,37,39,2,0
37,0,76,0,20,1,40,55,16,0
46,4,81,0,46,0,35,35,0,0
57,1,106,0,56,0,50,49,0,0
44,0,76,0,42,-19,32,34,2,0
37,0,97,-4,28,0,60,69,8,0
56,3,96,0,38,-5,40,57,18,3
37,0,97,-8,26,-6,60,71,12,0
48,4,81,1,46,0,32,34,2,0
57,0,79,0,56,0,22,22,0,0
82,5,85,0,-12,0,3,98,94,4
37,0,104,-2,28,9,67,75,8,0
77,0,81,0,-42,0,4,125,120,4
40,-4,86,0,38,0,46,47,2,0
45,-1,79,0,44,-19,33,35,2,0
37,-5,97,0,34,9,61,64,2,0
47,5,84,0,46,0,36,37,0,0
37,0,76,-2,20,-6,40,55,16,0
37,0,79,-4,34,0,42,45,2,0
37,0,80,0,34,18,43,46,2,0
37,0,79,0,26,-13,42,54,12,0
51,0,79,0,52,27,28,27,0,0
79,0,83,-2,-46,0,4,129,126,4
37,-1,77,0,-22,21,41,101,60,0
45,-1,86,5,44,0,42,42,0,0
37,0,79,2,26,-22,43,54,10,0
53,0,109,1,52,-3,56,57,2,0
44,-1,79,-4,44,3,36,35,0,0
37,0,83,-1,26,-24,46,57,12,0
41,-1,81,0,42,7,40,39,0,0
42,-4,87,0,42,0,45,46,0,0
38,3,81,0,38,23,43,42,0,0
55,0,95,-1,42,8,40,54,14,3
56,0,87,0,56,5,31,30,0,0
56,-5,96,-2,56,0,40,39,0,0
56,0,98,-2,52,4,42,46,4,3
41,0,81,1,42,4,39,39,0,0
55,0,96,0,44,27,41,52,12,3
41,0,76,0,38,-16,34,37,2,0
41,0,86,0,42,2,45,44,0,0
37,0,77,-6,34,24,40,44,4,0
37,1,109,5,26,0,71,83,12,0
37,2,94,0,8,-8,57,86,30,0
57,3,80,-4,56,0,23,23,0,0
51,0,91,0,50,-4,40,42,2,0
51,0,102,0,50,-26,51,53,2,0
37,-4,81,0,38,31,44,42,0,0
49,0,86,-4,50,11,38,37,0,0
71,46,82,0,-42,-8,11,126,114,1
47,0,79,2,46,0,32,32,0,0
37,0,96,0,30,0,59,65,6,0
39,2,77,0,38,0,38,39,0,0
102,0,102,-5,70,-7,1,33,32,4
47,2,87,7,46,0,40,41,0,0
102,0,103,0,70,-11,1,33,32,4
54,5,81,-1,54,0,27,26,0,0
56,0,92,0,-2,-8,36,95,58,3
41,0,97,0,38,-7,57,59,2,0
85,0,88,0,0,-27,3,88,86,4
44,0,76,0,42,-20,32,35,2,0
37,1,111,21,28,0,73,82,8,0
37,0,83,3,-2,0,46,85,40,0
37,0,106,0,24,-10,69,83,14,0
43,-2,82,0,42,-12,39,41,2,0
37,0,103,0,24,-2,66,80,14,0
63,-1,112,6,62,0,49,50,0,0
48,-4,84,0,46,-1,36,38,2,0
47,-2,75,-2,46,0,28,28,0,0
56,0,95,0,50,5,40,46,6,3
45,5,84,0,44,0,38,40,2,0
56,0,95,0,50,14,40,46,6,3
42,5,80,-2,42,0,38,39,2,0
49,0,77,0,46,-11,29,31,2,0
50,-4,81,6,50,0,32,32,0,0
44,0,99,-2,42,-16,56,58,2,0
55,0,77,0,-12,-29,21,90,68,3
37,0,74,-1,20,-8,37,54,16,0
45,0,76,-4,44,0,31,32,2,0
53,0,88,0,54,14,35,34,0,0
43,0,81,0,44,8,37,37,0,0
46,5,78,0,46,1,32,32,0,0
37,0,77,0,-6,6,41,85,44,0
53,0,83,8,54,12,30,29,0,0
37,0,95,0,18,-6,57,77,20,0
48,-1,87,0,46,-5,39,41,2,0
49,-2,79,0,46,-17,31,33,2,0
37,1,81,0,36,-1,43,44,2,0
47,0,83,-1,46,-2,35,36,0,0
55,5,83,0,54,0,28,29,2,0
38,1,77,0,38,9,39,38,0,0
44,4,77,0,44,0,33,34,0,0
55,0,77,0,-24,2,21,103,82,3
46,0,86,1,46,4,41,40,0,0
56,-4,87,0,56,11,31,30,0,0
56,2,98,0,44,-4,42,54,12,3
48,0,84,-1,46,0,36,37,2,0
46,0,85,-5,46,2,39,39,0,0
37,0,99,0,30,3,61,68,6,0
56,-2,87,1,56,0,31,30,0,0
49,-1,78,0,50,3,29,29,0,0
102,0,103,0,72,5,1,31,30,4
56,-4,78,-7,56,0,22,21,0,0
37,0,77,0,34,-23,41,44,2,0
49,0,86,0,50,4,37,37,0,0
56,0,78,0,26,4,22,52,30,3
49,0,79,0,50,14,30,30,0,0
47,1,85,-3,46,0,38,39,0,0
38,4,76,0,38,16,38,37,0,0
49,2,78,0,46,-10,29,32,2,0
37,0,76,0,24,-16,40,53,14,0
43,0,85,1,42,0,42,44,2,0
37,0,77,0,36,-16,39,41,2,0
37,0,76,0,24,-5,39,53,14,0
54,1,88,0,54,0,34,33,0,0
55,0,95,-1,52,-1,40,44,4,3
50,-4,101,-6,50,0,51,52,0,0
52,-5,84,0,52,0,32,32,0,0
51,0,77,0,50,-25,26,28,2,0
43,0,78,-6,42,-2,35,37,2,0
37,0,82,0,16,17,45,66,22,0
106,-1,108,-1,70,-1,1,38,36,4
49,0,81,4,50,0,32,32,0,0
56,1,77,0,-24,0,21,103,82,3
55,0,95,0,42,-1,40,54,14,3
43,0,87,0,42,-1,44,46,2,0
43,-1,89,-5,42,-7,46,48,2,0
55,0,78,0,8,-11,23,70,48,3
39,-1,76,-3,38,-5,37,37,0,0
46,0,77,0,44,-29,32,34,2,0
55,0,81,0,-6,-5,25,88,64,3
37,3,82,-5,34,0,45,48,4,0
80,1,84,0,-42,-29,4,128,124,4
37,-3,106,0,30,-683,69,75,6,0
37,0,74,0,26,-5,38,48,10,0
37,0,81,0,26,-3,45,55,10,0
37,0,106,6,24,-7,68,82,14,0
56,0,79,0,56,1,22,22,0,0
41,-1,83,-2,38,-7,42,44,2,0
55,-2,77,-1,24,0,22,54,32,3
44,0,79,-1,44,6,35,35,0,0
37,0,76,0,18,9,39,58,18,0
40,-3,84,0,38,0,44,46,2,0
37,0,76,0,38,27,38,37,0,0
53,-4,87,0,54,0,34,33,0,0
43,-1,76,1,42,-6,33,35,2,0
55,5,79,0,54,0,24,25,0,0
44,0,88,0,42,-30,44,46,2,0
79,5,83,0,-28,0,4,112,108,4
51,1,86,-6,52,7,35,35,0,0
52,0,86,0,52,-2,34,35,0,0
37,0,74,0,28,-1,37,46,8,0
56,0,77,0,-6,10,21,85,64,3
37,0,76,1,30,-30,40,45,6,0
37,-3,77,0,20,0,40,57,16,0
43,1,83,3,42,0,40,42,2,0
37,0,80,0,30,-11,43,49,6,0
55,-1,78,0,8,-4,23,70,48,3
45,-1,88,0,46,9,42,41,0,0
56,0,78,0,8,-19,22,70,48,3
55,-4,80,-6,-2,0,25,83,58,3
44,0,80,-7,44,6,36,36,0,0
37,0,78,0,16,25,41,63,22,0
50,0,81,0,50,-1,31,32,0,0
44,2,85,0,44,7,41,41,0,0
56,0,97,0,54,-25,40,42,2,0
52,3,79,0,52,0,26,27,0,0
51,0,86,0,52,6,35,35,0,0
49,-1,83,0,50,0,33,33,0,0
49,0,84,8,50,0,35,35,0,0
79,0,83,0,-46,-17,4,130,126,4
42,4,81,8,42,0,39,39,0,0
47,2,80,0,46,0,33,34,0,0
52,0,86,-1,52,-5,33,34,0,0
37,0,104,-2,16,-14,67,89,22,0
62,0,109,0,62,9,48,47,0,0
44,5,85,0,44,7,41,41,0,0
55,-3,86,0,54,-11,31,32,2,0
38,3,92,0,26,2,54,66,12,0
55,0,96,7,46,0,41,50,8,3
55,0,78,8,26,0,23,52,30,3
55,3,85,0,54,0,30,31,2,0
55,0,82,0,-40,-14,26,123,96,3
52,-1,85,0,52,0,33,33,0,0
55,3,80,0,54,0,25,26,0,0
47,0,82,-5,46,0,35,35,0,0
37,-1,76,-3,28,-7,39,47,8,0
44,3,86,2,44,2,42,42,0,0
48,1,83,6,46,0,35,36,2,0
56,0,96,0,54,-15,40,42,2,0
56,0,85,0,56,22,29,28,0,0
40,2,81,2,38,0,41,43,2,0
49,1,78,-7,50,0,29,29,0,0
51,0,78,-1,50,-9,27,29,2,0
38,1,77,0,38,10,39,38,0,0
37,0,76,0,36,13,39,40,2,0
55,1,78,-3,44,30,23,34,12,3
43,0,87,0,44,24,44,43,0,0
43,1,102,0,44,31,59,58,0,0
55,0,89,0,54,-4,34,35,2,0
37,0,74,0,26,-10,38,48,10,0
97,-29,107,0,70,0,10,37,28,2
56,0,79,1,0,7,23,79,56,3
49,0,107,0,50,14,58,58,0,0
43,1,84,0,42,0,41,43,2,0
45,5,86,0,44,0,41,42,0,0
37,0,94,0,8,-17,57,86,30,0
45,0,76,0,44,-7,31,32,2,0
46,0,81,1,44,-30,35,37,2,0
37,0,86,0,36,0,50,50,0,0
51,0,81,0,52,9,30,29,0,0
37,0,77,0,34,-6,40,43,4,0
55,0,95,0,46,14,40,49,8,3
51,0,91,0,50,-5,40,42,2,0
55,0,93,0,44,-30,37,49,12,3
56,0,86,5,54,-30,31,32,2,0
37,0,78,0,18,0,42,60,18,0
37,0,95,3,10,0,58,85,28,0
50,-3,78,0,50,0,28,29,2,0
37,0,79,-3,26,0,42,54,12,0
37,0,79,0,2,19,42,76,34,0
37,0,105,4,18,0,68,87,18,0
56,-1,95,0,44,17,40,51,12,3
37,0,78,0,2,4,41,75,34,0
38,1,96,0,38,8,58,57,0,0
50,1,83,0,50,0,33,34,2,0
79,-1,84,0,-42,0,4,128,124,4
37,0,77,0,24,21,40,54,14,0
37,0,80,1,10,0,43,70,26,0
49,0,87,-1,46,-15,38,41,2,0
45,-3,86,0,46,4,40,39,0,0
56,0,83,0,54,-23,27,28,2,0
56,0,95,0,46,-20,40,49,10,3
43,0,88,0,44,17,44,44,0,0
43,-4,85,0,44,14,42,41,0,0
37,0,77,0,28,31,41,49,8,0
51,5,77,0,50,0,27,28,2,0
59,0,86,0,60,20,28,27,0,0
58,3,79,-3,56,0,21,22,0,0
45,0,83,-1,44,-9,37,39,2,0
55,0,96,0,42,-3,41,55,14,3
52,0,82,7,52,0,30,30,0,0
37,0,77,1,36,-3,39,41,2,0
56,0,77,0,-2,-5,21,79,58,3
49,0,107,0,50,22,58,58,0,0
43,0,88,3,42,0,45,47,2,0
45,0,84,2,46,21,39,38,0,0
55,0,86,0,56,29,30,29,0,0
37,0,83,0,30,-8,47,52,6,0
37,0,83,0,34,12,46,49,4,0
41,0,77,0,38,-21,36,39,2,0
55,0,79,0,8,-3,23,71,48,3
37,0,77,8,34,-25,40,43,2,0
56,0,77,4,0,5,22,77,56,3
45,1,88,0,46,30,42,41,0,0
46,0,79,0,44,-27,34,35,2,0
37,0,83,0,-4,-10,46,88,42,0
37,0,77,0,-14,14,40,92,52,0
37,0,104,0,28,18,67,75,8,0
51,-5,81,0,52,0,29,29,0,0
37,0,80,0,10,15,43,70,26,0
49,0,77,0,50,15,28,28,0,0
102,0,102,-6,70,-5,1,33,32,4
55,1,82,0,54,-3,26,28,2,0
56,0,76,0,-10,19,20,86,66,3
55,0,92,0,-6,-18,36,99,64,3
41,1,108,0,42,10,66,66,0,0
45,-5,86,0,44,-15,41,42,2,0
105,7,106,7,70,0,1,36,36,4
37,0,79,-2,30,0,42,48,6,0
43,0,88,0,44,31,44,44,0,0
37,-2,80,0,20,0,43,59,16,0
55,0,77,7,28,-6,22,49,28,3
37,0,77,0,26,-13,41,52,10,0
37,0,84,0,26,-15,47,58,10,0
56,0,97,0,44,1,41,53,12,3
37,0,77,0,30,-19,41,46,6,0
37,-3700,106,-1,34,-2,69,72,4,6
49,2,85,0,46,-9,36,39,2,0
55,0,78,0,6,-12,23,73,50,3
56,2,87,0,54,-13,31,33,2,0
52,-5,80,0,52,0,28,28,0,0
43,0,93,0,44,31,50,50,0,0
50,-3,90,0,50,0,39,41,2,0
41,4,77,0,38,-17,36,38,2,0
52,-1,88,1,54,29,35,33,0,0
76,0,81,0,-42,0,5,125,120,4
38,0,106,0,38,0,68,67,0,0
37,0,79,2,12,13,42,66,24,0
56,3,98,0,46,4,42,51,10,3
51,-1,88,0,50,-9,37,39,2,0
55,0,96,0,50,5,41,47,6,3
44,0,95,0,44,4,52,51,0,0
37,0,76,0,28,-2,39,47,8,0
53,0,87,-2,52,-3,34,35,2,0
44,0,82,0,42,-23,38,41,2,0
46,0,77,0,46,8,31,30,0,0
79,0,83,0,-32,14,4,117,112,4
50,-4,83,0,50,0,33,33,0,0
39,-3,78,0,-2,-13,39,81,42,0
37,-3,82,4,24,0,45,59,14,0
66,0,109,0,64,-20,43,45,2,0
51,0,88,-2,50,-8,37,39,2,0
37,0,95,0,10,12,58,84,26,0
45,0,86,-1,44,0,40,42,2,0
79,-5,83,0,-46,0,5,130,126,4
44,-1,86,0,44,1,43,42,0,0
41,0,81,6,42,9,39,39,0,0
76,0,81,8,-40,9,5,122,116,4
44,4,86,0,44,14,42,42,0,0
37,0,75,2,26,0,38,49,10,0
56,1,86,5,56,6,31,30,0,0
53,1,86,0,52,-13,33,34,2,0
55,0,77,0,10,1,22,67,46,3
40,0,80,-1,38,5,40,41,2,0
55,0,97,-1,50,-2,41,48,6,3
43,-1,86,-7,42,0,44,45,2,0
46,0,81,6,46,0,35,35,0,0
63,0,112,1,62,0,49,50,0,0
41,4,93,0,42,20,52,52,0,0
55,0,81,0,-10,-7,25,91,66,3
44,0,76,0,44,2,32,32,0,0
55,0,96,-2,42,-3,41,55,14,3
37,0,95,0,18,-3,58,77,18,0
37,0,108,0,36,4,71,72,0,0
37,0,77,-2,30,-3,40,46,6,0
43,0,76,-1,42,-2,33,35,2,0
37,0,80,6,26,0,43,54,10,0
37,0,76,2,26,8,39,50,12,0
47,0,86,3,46,0,39,40,0,0
42,-2,77,0,42,0,35,35,0,0
81,0,86,6,-24,0,4,112,108,4
82,0,86,0,-2,8,3,88,84,4
64,0,110,0,64,9,46,46,0,0
43,0,89,0,44,30,46,45,0,0
51,-1,84,0,50,-5,34,35,2,0
56,1,87,0,56,13,31,30,0,0
38,1,81,0,38,18,43,42,0,0
37,-7,75,0,28,13,38,46,8,0
55,0,98,-2,42,-3,42,57,14,3
37,1,76,0,30,0,39,45,6,0
49,0,84,-3,50,-15,35,35,0,0
41,-2,76,0,42,8,35,35,0,0
37,1,76,-1,36,0,39,40,2,0
45,0,84,0,44,-15,39,41,2,0
78,-5,82,0,-40,0,4,123,120,4
52,0,81,0,52,-3,28,29,0,0
56,3,99,0,50,3,43,49,6,3
39,4,85,-3,38,0,46,46,0,0
37,0,21,-3939,6,0,-16,16,32,0
51,0,88,-5,52,10,37,37,0,0
104,2,106,2,70,0,1,36,34,4
56,0,96,-1,54,10,40,42,2,0
37,0,75,0,34,8,38,41,4,0
37,0,82,0,10,-6,45,72,26,0
37,0,79,0,34,-6,42,46,4,0
37,-80,106,-1,34,-2,69,72,4,2
37,0,92,3,8,25,54,84,30,0
41,0,83,0,38,-15,41,44,2,0
102,0,102,-7,72,24,1,30,30,4
37,0,102,3,36,0,65,66,2,0
37,2,80,0,34,20,43,46,4,0
55,0,78,0,46,9,23,32,8,3
56,-1,97,0,46,9,41,51,10,3
50,3,84,0,50,0,33,35,2,0
55,0,92,0,-4,18,36,97,60,3
41,0,106,0,42,1,65,65,0,0
82,0,85,0,-6,3,3,93,90,4
45,2,80,0,44,-3,35,36,2,0
37,0,79,-6,2,0,43,77,34,0
37,0,77,6,-18,0,41,96,54,0
37,3,79,0,34,31,41,45,4,0
51,0,88,0,50,-11,37,39,2,0
38,0,79,0,38,4,41,40,0,0
49,0,86,0,46,-8,38,40,2,0
39,0,100,0,38,0,61,62,0,0
37,-1,82,-5,36,-6,45,46,2,0
37,0,95,0,10,28,58,84,26,0
57,2,82,-2,56,0,25,25,0,0
48,0,87,-6,46,0,39,41,2,0
37,0,78,0,12,3,41,65,24,0
37,0,76,-7,34,3,39,42,2,0
55,-1,79,-4,18,-9,23,61,38,3
43,0,86,0,44,21,43,42,0,0
55,0,92,0,-6,-19,36,99,64,3
49,3,81,0,46,-1,33,35,2,0
55,-1,78,-3,8,-9,23,70,48,3
37,0,83,0,-4,0,46,88,42,0
41,0,88,-1,38,-7,48,50,2,0
52,-4,88,0,52,-1,36,37,0,0
43,-5,77,0,44,19,34,34,0,0
45,0,89,0,46,23,44,42,0,0
42,0,77,-5,42,0,35,36,2,0
45,-1,77,1,44,0,32,33,0,0
50,-1,90,2,50,0,39,41,2,0
44,4,77,0,44,17,33,33,0,0
56,0,81,0,-10,6,25,92,66,3
55,0,77,0,-22,-1,21,100,78,3
41,0,83,0,38,-21,42,44,2,0
84,0,88,0,-2,-26,3,90,88,4
37,0,81,-2,36,-14,43,44,2,0
47,-4,84,-7,46,0,38,38,0,0
37,0,80,2,34,0,43,46,4,0
47,0,76,6,46,0,30,30,0,0
55,0,77,-1,26,-24,21,51,30,3
43,0,90,0,42,-3,47,49,2,0
53,0,87,1,52,-15,34,35,2,0
49,0,107,0,46,-18,58,60,2,0
49,0,82,0,50,27,33,33,0,0
37,0,78,0,8,4,41,70,30,0
53,-3,77,8,54,18,25,23,0,0
37,0,76,-3,36,-4,39,40,0,0
45,0,79,-4,44,-11,33,35,2,0
37,0,92,-2,18,-6,55,74,20,0
37,0,77,1,26,9,40,51,12,0
49,2,78,0,46,-6,29,32,2,0
37,0,81,0,26,-11,44,55,10,0
56,0,80,0,56,20,24,23,0,0
37,0,78,0,16,-8,41,63,22,0
49,3,88,0,46,-9,39,41,2,0
39,-3,81,0,38,0,42,43,0,0
55,0,92,2,0,0,37,92,56,3
43,0,81,0,42,-1,38,40,2,0
37,0,75,0,18,-4,38,57,18,0
50,-2,86,0,50,0,37,37,0,0
55,0,97,0,46,-14,42,51,8,3
53,0,86,0,54,25,33,32,0,0
37,0,76,0,24,1,39,53,14,0
37,0,107,0,30,6,70,76,6,0
37,0,106,0,26,6,69,80,12,0
37,-1,77,-5,36,-8,40,41,0,0
55,-1,77,0,0,0,22,77,56,3
53,0,109,7,52,-4,56,57,2,0
45,-2,79,0,46,12,33,32,0,0
56,0,81,-6,-12,0,25,94,68,3
37,0,106,2,20,-7,69,85,16,0
41,0,87,6,38,-5,46,48,2,0
103,-2,104,-1,70,-15,1,35,34,4
58,0,86,-3,56,0,29,30,0,0
81,3,84,0,-18,0,3,103,100,4
56,2,91,0,-4,0,35,96,62,3
51,0,78,0,50,-19,27,29,2,0
45,-1,76,0,44,-8,31,32,2,0
63,0,111,5,62,0,48,49,2,0
81,0,85,0,-40,9,4,126,122,4
44,-51,82,0,44,0,38,38,0,0
45,0,83,0,44,5,38,39,0,0
44,0,106,0,44,0,62,62,0,0
82,0,86,8,-10,0,4,96,92,4
37,0,81,-2,10,0,44,70,26,0
42,5,79,5,42,0,37,38,0,0
49,0,95,4,50,10,47,46,0,0
37,0,84,0,24,-18,47,61,14,0
37,0,76,0,26,22,40,50,10,0
46,1,77,0,44,-13,31,33,2,0
55,0,77,0,-10,-3,21,87,66,3
56,0,95,0,52,13,40,44,4,3
46,0,79,3,46,0,33,33,0,0
42,1,86,8,42,0,44,45,2,0
37,0,79,6,34,0,43,46,2,0
37,2,104,0,24,7,66,80,14,0
48,-2,86,0,46,-3,38,40,2,0
46,1,81,0,46,5,35,35,0,0
43,5,86,0,42,0,43,45,2,0
42,-2,77,0,42,0,35,36,0,0
56,0,95,0,46,-16,40,49,10,3
49,0,83,0,50,6,34,33,0,0
48,5,81,-4,46,0,33,34,2,0
51,0,86,-1,52,7,35,35,0,0
51,0,77,0,50,-1,27,28,2,0
46,-5,76,0,46,0,30,30,0,0
81,0,84,-1,-20,-20,4,105,102,4
